subscriber_id,record_opening_time,record_closing_time,cc_total_octets_bytes,cc_input_octets_bytes,cc_output_octets_bytes,load_date
SUB_CE050974,2026-05-19 14:57:00,2026-05-19 14:58:00,76006250,68139540,7866710,2026-05-17 05:04:50
SUB_F87FAA6D,2026-05-18 13:42:00,2026-05-18 15:04:00,121923260,115577492,6345768,2026-05-17 05:04:50
SUB_6331C875,2026-05-17 08:37:00,2026-05-17 08:59:00,113693334,105745624,7947710,2026-05-17 05:04:50
SUB_2922DC01,2026-05-18 00:05:00,2026-05-18 01:31:00,88196437,78730585,9465852,2026-05-17 05:04:50
SUB_277F8422,2026-05-20 10:14:00,2026-05-20 11:03:00,98188297,91011876,7176421,2026-05-17 05:04:50
SUB_339381EB,2026-05-18 02:43:00,2026-05-18 02:50:00,22504720,16955751,5548969,2026-05-17 05:04:50
SUB_3D53A8B1,2026-05-22 07:13:00,2026-05-22 10:02:00,25917108,18695141,7221967,2026-05-17 05:04:50
SUB_46D9B92C,2026-05-18 16:09:00,2026-05-18 16:44:00,31352952,31103746,249206,2026-05-17 05:04:50
SUB_A302D2B1,2026-05-20 17:51:00,2026-05-20 18:07:00,7378826,4225941,3152885,2026-05-17 05:04:50
SUB_49CFDEE0,2026-05-18 15:14:00,2026-05-18 18:03:00,99789395,91414476,8374919,2026-05-17 05:04:50
SUB_339381EB,2026-05-20 06:51:00,2026-05-20 07:58:00,45496169,37198102,8298067,2026-05-17 05:04:50
SUB_E5E91216,2026-05-16 17:01:00,2026-05-16 17:38:00,67848477,64154417,3694060,2026-05-17 05:04:50
SUB_21428928,2026-05-17 08:43:00,2026-05-17 11:20:00,40681084,33021927,7659157,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-20 12:37:00,2026-05-20 13:53:00,32620358,23977079,8643279,2026-05-17 05:04:50
SUB_105653E3,2026-05-17 20:40:00,2026-05-17 23:12:00,106099880,96196654,9903226,2026-05-17 05:04:50
SUB_2A4C73F5,2026-05-22 01:44:00,2026-05-22 02:32:00,115409867,110964576,4445291,2026-05-17 05:04:50
SUB_7218933C,2026-05-23 04:08:00,2026-05-23 07:02:00,95268423,90236814,5031609,2026-05-17 05:04:50
SUB_E4A395F7,2026-05-20 21:39:00,2026-05-20 22:58:00,108079836,103316740,4763096,2026-05-17 05:04:50
SUB_B7AC9740,2026-05-21 02:28:00,2026-05-21 02:48:00,42849827,34555371,8294456,2026-05-17 05:04:50
SUB_6331C875,2026-05-23 00:04:00,2026-05-23 01:11:00,19514639,15337864,4176775,2026-05-17 05:04:50
SUB_718397CA,2026-05-19 16:06:00,2026-05-19 18:14:00,51122517,49390412,1732105,2026-05-17 05:04:50
SUB_17963822,2026-05-16 23:06:00,2026-05-17 01:43:00,109259016,101039975,8219041,2026-05-17 05:04:50
SUB_21428928,2026-05-21 04:21:00,2026-05-21 07:06:00,116655438,109239677,7415761,2026-05-17 05:04:50
SUB_2EBB92AF,2026-05-20 11:10:00,2026-05-20 12:36:00,62713971,55920888,6793083,2026-05-17 05:04:50
SUB_C814CE06,2026-05-20 13:49:00,2026-05-20 13:55:00,87778688,82333133,5445555,2026-05-17 05:04:50
SUB_734C7E29,2026-05-20 12:19:00,2026-05-20 14:40:00,81765381,75340191,6425190,2026-05-17 05:04:50
SUB_A302D2B1,2026-05-20 05:15:00,2026-05-20 07:14:00,83084647,75120616,7964031,2026-05-17 05:04:50
SUB_3A16BB29,2026-05-20 01:45:00,2026-05-20 02:05:00,18262689,11428414,6834275,2026-05-17 05:04:50
SUB_2A4C73F5,2026-05-19 17:06:00,2026-05-19 18:05:00,119770020,117350147,2419873,2026-05-17 05:04:50
SUB_18E3D83F,2026-05-17 07:29:00,2026-05-17 08:05:00,111912891,102286616,9626275,2026-05-17 05:04:50
SUB_6331C875,2026-05-20 12:23:00,2026-05-20 12:53:00,81882140,75198501,6683639,2026-05-17 05:04:50
SUB_BC5A4471,2026-05-23 06:29:00,2026-05-23 07:24:00,20756694,15870343,4886351,2026-05-17 05:04:50
SUB_E4A395F7,2026-05-17 10:27:00,2026-05-17 10:34:00,122160922,112563137,9597785,2026-05-17 05:04:50
SUB_D52A65F4,2026-05-17 09:13:00,2026-05-17 10:47:00,22651283,19503102,3148181,2026-05-17 05:04:50
SUB_20CC0E16,2026-05-22 00:09:00,2026-05-22 02:43:00,64819653,64383946,435707,2026-05-17 05:04:50
SUB_B355791F,2026-05-20 19:28:00,2026-05-20 20:11:00,107413803,102975745,4438058,2026-05-17 05:04:50
SUB_181C01B5,2026-05-22 17:05:00,2026-05-22 17:26:00,66961391,62265408,4695983,2026-05-17 05:04:50
SUB_C93B82A3,2026-05-18 16:32:00,2026-05-18 17:28:00,112243382,110803807,1439575,2026-05-17 05:04:50
SUB_23C6D19A,2026-05-20 00:15:00,2026-05-20 02:40:00,109740911,103562640,6178271,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-20 00:03:00,2026-05-20 02:50:00,90975135,83313020,7662115,2026-05-17 05:04:50
SUB_4FF7429D,2026-05-22 01:37:00,2026-05-22 04:34:00,44114191,39127295,4986896,2026-05-17 05:04:50
SUB_C621FBCD,2026-05-18 09:27:00,2026-05-18 10:41:00,127654087,119119910,8534177,2026-05-17 05:04:50
SUB_AFBD0939,2026-05-22 10:54:00,2026-05-22 12:33:00,89458964,84560212,4898752,2026-05-17 05:04:50
SUB_46D9B92C,2026-05-20 10:10:00,2026-05-20 10:12:00,52646447,49865504,2780943,2026-05-17 05:04:50
SUB_C4916B35,2026-05-18 16:56:00,2026-05-18 17:36:00,33007826,23189032,9818794,2026-05-17 05:04:50
SUB_46D9B92C,2026-05-19 09:36:00,2026-05-19 10:32:00,23078191,17093018,5985173,2026-05-17 05:04:50
SUB_6EDA1624,2026-05-19 16:49:00,2026-05-19 19:24:00,9933217,2347781,7585436,2026-05-17 05:04:50
SUB_4FF7429D,2026-05-19 17:41:00,2026-05-19 20:32:00,16138601,10369569,5769032,2026-05-17 05:04:50
SUB_AFBD0939,2026-05-21 08:44:00,2026-05-21 11:22:00,121596670,115494006,6102664,2026-05-17 05:04:50
SUB_777B0717,2026-05-17 11:56:00,2026-05-17 12:54:00,73775338,65783002,7992336,2026-05-17 05:04:50
SUB_A1B4C210,2026-05-23 04:49:00,2026-05-23 06:42:00,98449625,93841710,4607915,2026-05-17 05:04:50
SUB_D7791E4A,2026-05-19 01:40:00,2026-05-19 04:14:00,68395171,67811523,583648,2026-05-17 05:04:50
SUB_908310A7,2026-05-17 06:51:00,2026-05-17 09:47:00,41642715,38458770,3183945,2026-05-17 05:04:50
